,date_card,place_card,weight_class,method,round,time,type,order,first_fighter_res,first_fighter,second_fighter,second_kd,first_sig_str_,second_sig_str_,first_sig_str_percentage,second_sig_str_percentage,first_total_str,second_total_str,referee,agg_height_first,agg_weight_first,agg_reach_first,agg_stand_first,agg_dob_first,agg_slpm_first,agg_str_acc_first,agg_sapm_first,agg_str_def_first,agg_td_avg_first,agg_td_acc_first,agg_td_def_first,agg_sub_avg_first,agg_recodr_first,agg_nickname_first,agg_fighter_name_first,agg_last_updated_first,agg_height_second,agg_weight_second,agg_reach_second,agg_stand_second,agg_dob_second,agg_slpm_second,agg_str_acc_second,agg_sapm_second,agg_str_def_second,agg_td_avg_second,agg_td_acc_second,agg_td_def_second,agg_sub_avg_second,agg_recodr_second
868,9-Jun-18,"Chicago, Illinois, USA",Featherweight, Decision - Split ,3,5:00,,8,L,Ricardo Lamas,Mirsad Bektic,0,34 of 62,31 of 89,54%,34%,69 of 97,97 of 174,Herb Dean,"5' 8""",145 lbs.,"71""",Orthodox,21-May-82,3.13,47%,2.87,57%,1.84,33%,46%,0.9,Record: 20-8-0,The Bully,Ricardo Lamas,57:28.3,"5' 8""",145 lbs.,"70""",Orthodox,16-Feb-91,2.43,41%,1.8,57%,3.98,52%,92%,0.4,Record: 13-4-0
869,9-Jun-18,"Chicago, Illinois, USA",Heavyweight, KO/TKO ,2,3:53,,9,L,Rashad Coulter,Chris de la Rocha,0,30 of 57,40 of 79,52%,50%,30 of 58,79 of 129,Kevin MacDonald,"5' 11""",205 lbs.,"76""",Orthodox,27-Nov-81,4.82,56%,6.68,50%,0,0%,62%,0,Record: 9-4-0,Daywalker,Rashad Coulter,57:28.3,"6' 3""",250 lbs.,"80""",Orthodox,15-May-79,4.08,45%,6.37,43%,2.02,30%,33%,1,Record: 5-3-0
870,9-Jun-18,"Chicago, Illinois, USA",Flyweight, Decision - Split ,3,5:00,,11,L,Joseph Benavidez,Sergio Pettis,0,59 of 186,74 of 168,31%,44%,86 of 216,87 of 183,Robert Madrigal,"5' 4""",125 lbs.,"65""",Southpaw,31-Jul-84,3.52,34%,2.67,61%,1.41,30%,62%,0.6,Record: 28-8-0,,Joseph Benavidez,57:28.3,"5' 6""",125 lbs.,"69""",Orthodox,18-Aug-93,3.88,37%,2.91,65%,0.85,40%,67%,0.4,Record: 18-5-0
871,9-Jun-18,"Chicago, Illinois, USA",Lightweight, Submission ,1,2:18,perf,12,L,Clay Guida,Charles Oliveira,0,9 of 25,14 of 29,36%,48%,9 of 25,14 of 29,Herb Dean,"5' 7""",155 lbs.,"70""",Orthodox,8-Dec-81,2.44,34%,2.57,63%,3.36,38%,68%,0.7,Record: 36-17-0,The Carpenter,Clay Guida,57:28.3,"5' 10""",155 lbs.,"74""",Orthodox,17-Oct-89,3.26,52%,3.01,53%,2.64,44%,57%,2.7,Record: 31-8-0 (1 NC)
872,9-Jun-18,"Chicago, Illinois, USA",Featherweight, KO/TKO ,1,0:50,,13,L,Mike Santiago,Dan Ige,0,0 of 1,25 of 27,0%,92%,0 of 1,29 of 32,Kevin MacDonald,"5' 10""",145 lbs.,"69""",Orthodox,28-Jul-89,3.44,49%,3.58,36%,2.66,50%,53%,1.1,Record: 19-12-0,,Mike Santiago,57:28.3,"5' 7""",145 lbs.,"71""",Orthodox,6-Aug-91,3.95,46%,3.36,58%,1.68,27%,59%,0.5,Record: 15-3-0
873,1-Jun-18,"Utica, New York, USA",Bantamweight, KO/TKO ,1,0:33,perf,1,L,Jimmie Rivera,Marlon Moraes,1,0 of 3,7 of 9,0%,77%,0 of 3,7 of 9,Dan Miragliotta,"5' 4""",135 lbs.,"68""",Orthodox,29-Jun-89,4.03,40%,3.9,60%,0.88,27%,92%,0.1,Record: 23-5-0,El Terror,Jimmie Rivera,57:28.3,"5' 6""",135 lbs.,"67""",Orthodox,26-Apr-88,3.38,39%,4.11,56%,1,41%,66%,0.4,Record: 23-8-1
874,1-Jun-18,"Utica, New York, USA",Lightweight, Submission ,2,4:06,perf,2,W,Gregor Gillespie,Vinc Pichel,0,13 of 26,7 of 22,50%,31%,30 of 48,35 of 51,Todd Ronald Anderson,"5' 7""",155 lbs.,"71""",Orthodox,13-Nov-86,3.74,52%,2.3,57%,6.86,48%,100%,0.8,Record: 14-1-0,The Gift,Gregor Gillespie,57:28.3,"5' 10""",155 lbs.,"72""",Orthodox,23-Nov-82,3.2,46%,2.28,56%,3.83,60%,20%,0.3,Record: 13-2-0
875,1-Jun-18,"Utica, New York, USA",Heavyweight, KO/TKO ,2,4:59,,3,W,Walt Harris,Daniel Spitz,0,29 of 79,17 of 42,36%,40%,30 of 80,17 of 42,Kevin MacDonald,"6' 5""",250 lbs.,"77""",Southpaw,10-Jun-83,3.05,39%,3.33,54%,0.29,28%,70%,0.1,Record: 13-10-0 (1 NC),The Big Ticket,Walt Harris,57:28.3,"6' 7""",245 lbs.,"82""",Orthodox,31-Jul-90,2.6,35%,5.3,46%,0.74,66%,0%,0,Record: 6-3-0
876,1-Jun-18,"Utica, New York, USA",Welterweight, KO/TKO ,1,1:56,perf,4,L,Jake Ellenberger,Ben Saunders,1,5 of 9,10 of 21,55%,47%,7 of 12,11 of 22,Dan Miragliotta,"5' 9""",170 lbs.,"71""",Orthodox,28-Mar-85,2.47,39%,2.83,60%,2.04,47%,86%,0.4,Record: 31-15-0,The Juggernaut,Jake Ellenberger,57:28.3,"6' 2""",170 lbs.,"77""",Orthodox,13-Apr-83,3.23,50%,3.58,51%,0.2,40%,66%,1.3,Record: 22-13-2
877,1-Jun-18,"Utica, New York, USA",Featherweight, Submission ,3,2:55,,5,W,Julio Arce,Daniel Teymur,0,63 of 178,37 of 102,35%,36%,80 of 199,39 of 105,Todd Ronald Anderson,"5' 7""",145 lbs.,"70""",Southpaw,27-Oct-89,4.25,36%,2.87,67%,0.58,30%,93%,0.6,Record: 16-4-0,,Julio Arce,57:28.3,"5' 5""",145 lbs.,"69""",Orthodox,3-Feb-88,3.08,46%,3.93,56%,0.56,18%,60%,0.3,Record: 7-4-0
878,1-Jun-18,"Utica, New York, USA",Light Heavyweight, Decision - Split ,3,5:00,,6,L,Gian Villante,Sam Alvey,1,50 of 133,53 of 122,37%,43%,50 of 133,59 of 128,Kevin MacDonald,"6' 3""",230 lbs.,"76""",Orthodox,18-Aug-85,4.39,43%,5.48,55%,0.46,23%,83%,0,Record: 17-13-0,,Gian Villante,57:28.3,"6' 2""",205 lbs.,"75""",Southpaw,6-May-86,3.2,43%,3.44,54%,0.07,16%,82%,0.1,Record: 33-15-1 (1 NC)
879,1-Jun-18,"Utica, New York, USA",Women's Flyweight, Decision - Unanimous ,3,5:00,,7,W,Sijara Eubanks,Lauren Murphy,0,75 of 213,49 of 125,35%,39%,96 of 238,71 of 147,Dan Miragliotta,"5' 4""",135 lbs.,"67""",Orthodox,27-Apr-85,4.52,43%,3.69,57%,1.88,46%,65%,0.4,Record: 7-6-0,Sarj,Sijara Eubanks,57:28.3,"5' 5""",125 lbs.,"67""",Orthodox,27-Jul-83,3.95,40%,4.25,61%,1.16,34%,70%,0.1,Record: 15-4-0
880,1-Jun-18,"Utica, New York, USA",Lightweight, Decision - Unanimous ,3,5:00,,8,L,Nik Lentz,David Teymur,0,61 of 144,67 of 187,42%,35%,63 of 146,72 of 192,Todd Ronald Anderson,"5' 8""",145 lbs.,"68""",Orthodox,13-Aug-84,3.44,47%,3.25,50%,3.3,32%,43%,1.2,Record: 30-12-2 (1 NC),The Carny,Nik Lentz,57:28.3,"5' 9""",155 lbs.,"73""",Southpaw,1-May-89,4.69,43%,3.53,55%,0.94,33%,77%,0,Record: 8-2-0
881,1-Jun-18,"Utica, New York, USA",Welterweight, Decision - Unanimous ,3,5:00,,9,W,Belal Muhammad,Chance Rencountre,0,70 of 130,16 of 123,53%,13%,88 of 149,16 of 123,Kevin MacDonald,"5' 11""",170 lbs.,"72""",Orthodox,9-Jul-88,4.61,42%,3.8,60%,1.8,28%,91%,0.2,Record: 19-3-0 (1 NC),Remember the Name,Belal Muhammad,57:28.3,"6' 2""",170 lbs.,"75""",Southpaw,31-Dec-86,1.1,20%,3.62,49%,1.35,26%,16%,0.3,Record: 14-4-0
882,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight, Submission ,1,4:45,,6,W,Cezar Ferreira,Karl Roberson,0,5 of 6,4 of 6,83%,66%,14 of 16,20 of 26,Fernando Portella,"6' 1""",185 lbs.,"78""",Southpaw,15-Feb-85,1.9,42%,2.44,53%,2.69,53%,84%,0.5,Record: 13-8-0,Mutante,Cezar Ferreira,57:28.3,"6' 1""",185 lbs.,"74""",Southpaw,4-Oct-90,2.87,51%,2.38,57%,0.92,57%,45%,0.7,Record: 9-4-0
883,1-Jun-18,"Utica, New York, USA",Lightweight, Decision - Unanimous ,3,5:00,,10,W,Desmond Green,Gleison Tibau,0,77 of 191,28 of 178,40%,15%,77 of 191,29 of 179,Dan Miragliotta,"5' 10""",155 lbs.,"73""",Southpaw,11-Oct-89,3.7,46%,2.51,69%,1.62,50%,75%,0,Record: 23-8-0,The Predator,Desmond Green,57:28.3,"5' 10""",155 lbs.,"71""",Southpaw,7-Oct-83,1.95,31%,2.51,63%,4.08,53%,92%,0.8,Record: 33-14-0
884,1-Jun-18,"Utica, New York, USA",Bantamweight, Submission ,2,2:18,perf,11,L,Johnny Eduardo,Nathaniel Wood,0,37 of 88,33 of 97,42%,34%,37 of 88,33 of 97,Kevin MacDonald,"5' 7""",135 lbs.,"71""",Orthodox,3-Aug-78,2.89,38%,3.34,63%,0,0%,62%,0.5,Record: 28-12-0,,Johnny Eduardo,57:28.3,"5' 6""",140 lbs.,"69""",Orthodox,8-May-93,6.28,46%,4.36,53%,1.29,46%,75%,0.9,Record: 17-5-0
885,1-Jun-18,"Utica, New York, USA",Flyweight, KO/TKO ,2,2:55,,12,L,Jarred Brooks,Jose Torres,0,31 of 69,22 of 62,44%,35%,42 of 80,25 of 65,Dan Miragliotta,"5' 3""",125 lbs.,"62""",Switch,2-May-93,2.12,46%,1.66,62%,4.54,57%,69%,0.6,Record: 13-2-0,The Monkey God,Jarred Brooks,57:28.3,"5' 4""",125 lbs.,"65""",Orthodox,2-Aug-92,4.37,36%,9.84,50%,1.28,33%,75%,0,Record: 8-1-0
886,27-May-18,"Liverpool, England, United Kingdom",Welterweight, Decision - Unanimous ,5,5:00,,1,L,Stephen Thompson,Darren Till,1,30 of 126,38 of 126,23%,30%,31 of 127,40 of 129,Marc Goddard,"6' 0""",170 lbs.,"75""",Orthodox,11-Feb-83,4.24,43%,2.8,58%,0.32,45%,78%,0,Record: 16-4-1,Wonderboy,Stephen Thompson,57:28.3,"6' 0""",185 lbs.,"74""",Southpaw,24-Dec-92,2.27,46%,2.99,58%,0.54,41%,82%,0,Record: 18-3-1
887,27-May-18,"Liverpool, England, United Kingdom",Welterweight, KO/TKO ,1,4:32,,2,W,Neil Magny,Craig White,0,18 of 29,6 of 17,62%,35%,40 of 53,13 of 28,Leon Roberts,"6' 3""",170 lbs.,"80""",Orthodox,3-Aug-87,3.67,46%,2.06,56%,2.44,42%,57%,0.3,Record: 25-9-0,The Haitian Sensation,Neil Magny,57:28.3,"6' 2""",170 lbs.,"76""",Orthodox,1-Jul-90,1.23,40%,3.28,39%,0,0%,50%,0.8,Record: 14-9-0
888,27-May-18,"Liverpool, England, United Kingdom",Featherweight, Submission ,3,2:41,perf,3,W,Arnold Allen,Mads Burnell,0,29 of 90,20 of 56,32%,35%,38 of 101,70 of 120,Neil Hall,"5' 8""",145 lbs.,"70""",Southpaw,22-Jan-94,2.96,40%,2.15,66%,1.44,50%,76%,0.4,Record: 17-1-0,Almighty,Arnold Allen,57:28.3,"5' 8""",145 lbs.,"69""",Orthodox,6-Mar-94,1.28,41%,2.71,51%,3.45,47%,22%,0.4,Record: 9-3-0
889,27-May-18,"Liverpool, England, United Kingdom",Featherweight, Decision - Split ,3,5:00,,4,L,Jason Knight,Makwan Amirkhani,0,29 of 88,27 of 62,32%,43%,64 of 124,32 of 68,Marc Goddard,"5' 10""",145 lbs.,"71""",Orthodox,14-Jul-92,2.95,33%,3.02,51%,1.31,31%,47%,1.7,Record: 20-5-0,The Kid,Jason Knight,57:28.3,"5' 10""",145 lbs.,"72""",Southpaw,8-Nov-88,1.4,43%,2.52,52%,3.61,40%,57%,1.1,Record: 16-6-0
890,27-May-18,"Liverpool, England, United Kingdom",Welterweight, Submission ,1,4:31,perf,5,W,Claudio Silva,Nordine Taleb,0,18 of 39,6 of 12,46%,50%,25 of 51,6 of 12,Neil Hall,"5' 11""",170 lbs.,"71""",Southpaw,6-Sep-82,2.81,41%,3,44%,2.63,25%,50%,1.3,Record: 14-3-0,Hannibal,Claudio Silva,57:28.3,"6' 1""",170 lbs.,"74""",Orthodox,10-Jun-81,3.66,51%,2.62,66%,1.94,76%,73%,0,Record: 15-7-0
891,27-May-18,"Liverpool, England, United Kingdom",Middleweight, KO/TKO ,2,1:47,perf,6,L,Eric Spicely,Darren Stewart,1,15 of 75,34 of 90,20%,37%,19 of 79,34 of 90,Leon Roberts,"6' 1""",185 lbs.,"73""",Orthodox,29-Sep-86,3.71,45%,5.72,55%,1.31,20%,75%,1,Record: 12-6-0,Zebrinha,Eric Spicely,57:28.3,"6' 0""",185 lbs.,"74""",Orthodox,30-Dec-90,2.98,45%,3.07,49%,1.56,41%,67%,0.1,Record: 12-7-0 (2 NC)
892,27-May-18,"Liverpool, England, United Kingdom",Middleweight, KO/TKO ,1,3:33,perf,7,L,Daniel Kelly,Tom Breese,1,6 of 28,23 of 44,21%,52%,6 of 28,23 of 44,Daniel Movahedi,"6' 0""",185 lbs.,"70""",Southpaw,31-Oct-77,3.62,38%,4.64,61%,1.86,34%,78%,0.3,Record: 13-4-0,,Daniel Kelly,57:28.3,"6' 3""",185 lbs.,"73""",Southpaw,26-Sep-91,3.34,50%,2.81,60%,0,0%,70%,1.1,Record: 12-3-0
893,27-May-18,"Liverpool, England, United Kingdom",Women's Bantamweight, Decision - Unanimous ,3,5:00,,8,W,Lina Lansberg,Gina Mazany,0,40 of 75,38 of 89,53%,42%,81 of 125,112 of 178,Marc Goddard,"5' 7""",135 lbs.,"65""",Orthodox,13-Mar-82,2.76,57%,3.7,44%,0.71,33%,50%,0.1,Record: 10-5-0,Elbow Queen,Lina Lansberg,57:28.3,"5' 6""",125 lbs.,"68""",Southpaw,19-Aug-88,3.43,49%,3.17,49%,4.7,58%,33%,0.3,Record: 7-5-0
894,27-May-18,"Liverpool, England, United Kingdom",Welterweight, Decision - Split ,3,5:00,,9,L,Bradley Scott,Carlo Pedersoli,0,58 of 155,67 of 179,37%,37%,63 of 160,68 of 181,Leon Roberts,"6' 1""",170 lbs.,"76""",Orthodox,24-Jun-89,3.52,41%,4.31,57%,0.32,15%,63%,0.7,Record: 11-6-0,Bear,Bradley Scott,57:28.3,"5' 11""",170 lbs.,"75""",Southpaw,8-Jun-93,4.17,37%,4.12,61%,2.91,44%,0%,0,Record: 11-3-0
895,21-Mar-10,"Broomfield, Colorado, USA",Welterweight, KO/TKO ,1,2:01,ko,8,W,John Howard,Daniel Roberts,0,6 of 8,7 of 17,75%,41%,8 of 11,21 of 33,Tom Johnson,"5' 7""",170 lbs.,"72""",Orthodox,1-Mar-83,2.15,50%,3.08,51%,2.7,49%,53%,0.4,Record: 24-13-0,Doomsday,John Howard,57:28.3,,,,,,,,,,,,,,
896,21-Nov-09,"Las Vegas, Nevada, USA",Welterweight, KO/TKO ,2,3:25,,8,W,Brian Foster,Brock Larson,0,28 of 63,6 of 14,44%,42%,57 of 93,23 of 31,Yves Lavigne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,27-May-18,"Liverpool, England, United Kingdom",Middleweight, Decision - Unanimous ,3,5:00,,11,W,Elias Theodorou,Trevor Smith,0,77 of 138,41 of 81,55%,50%,140 of 203,82 of 123,Daniel Movahedi,"6' 1""",185 lbs.,"75""",Orthodox,31-May-88,4.19,42%,2.39,53%,1.27,28%,59%,0,Record: 16-3-0,The Spartan,Elias Theodorou,57:28.3,"6' 3""",185 lbs.,"75""",Orthodox,5-Jan-81,3.29,55%,3.31,51%,1.7,32%,60%,0.7,Record: 15-10-0
898,19-May-18,"Santiago, Chile",Welterweight, Decision - Unanimous ,5,5:00,,1,L,Demian Maia,Kamaru Usman,1,27 of 87,66 of 209,31%,31%,33 of 94,97 of 244,Leon Roberts,"6' 1""",170 lbs.,"72""",Southpaw,6-Nov-77,1.8,43%,2.07,63%,2.49,24%,61%,1,Record: 28-11-0,,Demian Maia,57:28.3,"6' 0""",170 lbs.,"76""",Switch,11-May-87,4.63,54%,2.4,57%,3.27,48%,100%,0.1,Record: 19-1-0
899,19-May-18,"Santiago, Chile",Women's Strawweight, Submission ,1,2:44,,2,L,Alexa Grasso,Tatiana Suarez,0,6 of 8,2 of 9,75%,22%,21 of 23,4 of 11,Camila Albuquerque,"5' 5""",125 lbs.,"66""",Orthodox,9-Aug-93,4.96,43%,3.61,64%,0.28,40%,60%,0.6,Record: 13-3-0,,Alexa Grasso,57:28.3,"5' 5""",115 lbs.,"66""",Southpaw,19-Dec-90,4.82,65%,1.45,48%,6.47,62%,100%,0.6,Record: 9-0-0
900,19-May-18,"Santiago, Chile",Light Heavyweight, KO/TKO ,1,2:55,,3,L,Jared Cannonier,Dominick Reyes,1,6 of 21,20 of 52,28%,38%,10 of 26,21 of 53,Marc Goddard,"5' 11""",185 lbs.,"77""",Switch,16-Mar-84,3.7,52%,3.09,64%,0.16,33%,54%,0,Record: 13-5-0,The Killa Gorilla,Jared Cannonier,57:28.3,"6' 4""",205 lbs.,"77""",Southpaw,26-Dec-89,4.77,50%,3.73,48%,0.36,28%,80%,0.4,Record: 12-3-0
901,19-May-18,"Santiago, Chile",Bantamweight, Decision - Unanimous ,3,5:00,,4,L,Diego Rivas,Guido Cannetti,0,22 of 46,25 of 53,47%,47%,26 of 50,44 of 75,Leon Roberts,"5' 8""",145 lbs.,"69""",Orthodox,11-Nov-91,1.37,40%,2.14,52%,1.79,60%,64%,0.9,Record: 10-2-0,Pitbull,Diego Rivas,57:28.3,"5' 6""",135 lbs.,"68""",Southpaw,19-Dec-79,2.85,51%,2.17,50%,2.64,50%,75%,0.3,Record: 8-6-0
902,19-May-18,"Santiago, Chile",Women's Flyweight, Decision - Unanimous ,3,5:00,fight,5,L,Veronica Macedo,Andrea Lee,0,24 of 73,56 of 93,32%,60%,42 of 100,87 of 131,Camila Albuquerque,"5' 4""",125 lbs.,"64""",Southpaw,30-Oct-95,3.13,39%,5.06,43%,0.57,18%,46%,0.6,Record: 6-4-1,,Veronica Macedo,57:28.3,"5' 6""",125 lbs.,"69""",Orthodox,11-Feb-89,5.48,50%,3.68,64%,1.95,52%,57%,0.9,Record: 12-5-0
903,19-May-18,"Santiago, Chile",Welterweight, Decision - Split ,3,5:00,,7,L,Zak Cummings,Michel Prazeres,0,28 of 92,30 of 76,30%,39%,62 of 128,32 of 78,,"6' 0""",185 lbs.,"75""",Southpaw,2-Aug-84,2.58,32%,2.83,55%,0.68,28%,65%,0.7,Record: 24-7-0,,Zak Cummings,57:28.3,"5' 6""",170 lbs.,"67""",Orthodox,25-Jul-81,2.44,47%,2.49,58%,4.11,36%,50%,0.6,Record: 26-3-0
904,19-May-18,"Santiago, Chile",Flyweight, Decision - Unanimous ,3,5:00,,8,L,Brandon Moreno,Alexandre Pantoja,0,45 of 133,79 of 168,33%,47%,50 of 140,96 of 187,Marc Goddard,"5' 7""",125 lbs.,"70""",Orthodox,7-Dec-93,3.44,39%,3.29,58%,2.05,47%,65%,0.8,Record: 19-5-2,The Assassin Baby,Brandon Moreno,57:28.3,"5' 5""",125 lbs.,"67""",Orthodox,16-Apr-90,4.3,47%,3.39,53%,0.94,35%,68%,0.9,Record: 23-5-0
905,19-May-18,"Santiago, Chile",Women's Strawweight, KO/TKO ,1,0:33,,9,W,Poliana Botelho,Syuri Kondo,0,9 of 13,2 of 3,69%,66%,9 of 13,2 of 3,Camila Albuquerque,"5' 8""",115 lbs.,"67""",Orthodox,15-Dec-88,2.83,57%,2.75,50%,0.92,57%,80%,0,Record: 8-4-0,,Poliana Botelho,57:28.3,"5' 4""",115 lbs.,"66""",Orthodox,8-Feb-89,5.4,44%,7.22,58%,0,0%,83%,0.3,Record: 6-3-0
906,19-May-18,"Santiago, Chile",Featherweight, KO/TKO ,1,0:39,perf,10,W,Gabriel Benitez,Humberto Bandenay,0,9 of 19,2 of 2,47%,100%,9 of 19,2 of 2,Osiris Maia,"5' 8""",155 lbs.,"71""",Southpaw,15-Jun-88,4.38,38%,3.26,70%,0.17,50%,56%,1.2,Record: 22-9-0,Moggly,Gabriel Benitez,57:28.3,"5' 11""",145 lbs.,"71""",Southpaw,4-Sep-94,2.22,41%,4.79,41%,2.9,46%,62%,0.5,Record: 14-7-0 (1 NC)
907,26-Aug-06,"Las Vegas, Nevada, USA",Light Heavyweight, Submission ,1,3:23,,7,W,Wilson Gouveia,Wes Combs,0,9 of 20,10 of 17,45%,58%,15 of 26,10 of 17,Steve Mazzagatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,19-May-18,"Santiago, Chile",Featherweight, Decision - Unanimous ,3,5:00,,11,W,Enrique Barzola,Brandon Davis,0,51 of 94,29 of 87,54%,33%,89 of 149,39 of 102,Leon Roberts,"5' 7""",145 lbs.,"70""",Orthodox,28-Apr-89,3.91,41%,2.97,68%,4.2,45%,66%,0.3,Record: 17-5-2,El Fuerte,Enrique Barzola,57:28.3,"5' 10""",135 lbs.,"72""",Orthodox,8-May-90,4.65,35%,4.33,60%,0.71,45%,56%,0.1,Record: 10-8-0
909,19-May-18,"Santiago, Chile",Bantamweight, Decision - Unanimous ,3,5:00,,12,L,Henry Briones,Frankie Saenz,1,44 of 104,66 of 120,42%,55%,58 of 123,84 of 138,,"5' 8""",135 lbs.,"69""",Orthodox,22-Oct-80,3.47,42%,4.68,53%,0,0%,52%,0.6,Record: 16-8-1,Bure,Henry Briones,57:28.3,"5' 6""",135 lbs.,"66""",Orthodox,12-Aug-80,3.94,47%,3.5,52%,1.74,31%,61%,0.1,Record: 13-7-0
910,16-Dec-00,"Tokyo, Japan",Welterweight, Submission ,1,0:20,,6,W,Dennis Hallman,Matt Hughes,0,0 of 0,1 of 1,0%,100%,0 of 0,1 of 1,Mario Yamasaki,,,,,,,,,,,,,,,,,,"5' 9""",170 lbs.,"73""",Switch,13-Oct-73,2.14,53%,1.36,53%,2.95,50%,35%,1.2,Record: 45-9-0
911,19-May-18,"Santiago, Chile",Lightweight, Submission ,3,2:23,perf,13,W,Claudio Puelles,Felipe Silva,1,16 of 49,70 of 130,32%,53%,16 of 49,103 of 171,Osiris Maia,"5' 10""",155 lbs.,"72""",Southpaw,21-Apr-96,1.76,47%,3.02,49%,3.35,47%,62%,0.9,Record: 11-2-0,El Nino,Claudio Puelles,57:28.3,"6' 0""",155 lbs.,"77""",Orthodox,8-May-84,5.4,50%,1.8,59%,1,100%,71%,0,Record: 8-2-0
912,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Women's Bantamweight, KO/TKO ,5,2:36,belt,1,W,Amanda Nunes,Raquel Pennington,0,124 of 254,64 of 169,48%,37%,152 of 288,79 of 186,Marc Goddard,"5' 8""",145 lbs.,"69""",Orthodox,30-May-88,4.5,51%,2.45,57%,2.5,53%,84%,0.9,Record: 21-4-0,Lioness,Amanda Nunes,57:28.3,"5' 7""",135 lbs.,"67""",Orthodox,5-Sep-88,3.62,48%,3.2,63%,1.12,28%,65%,0.7,Record: 11-9-0
913,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight, Decision - Split ,3,5:00,fight,2,L,Jacare Souza,Kelvin Gastelum,1,64 of 115,53 of 145,55%,36%,78 of 129,57 of 149,Leon Roberts,"6' 1""",185 lbs.,"72""",Orthodox,7-Dec-79,2.53,47%,2.83,62%,2.57,39%,57%,1.3,Record: 26-10-0 (1 NC),,Jacare Souza,57:28.3,"5' 9""",185 lbs.,"71""",Southpaw,24-Oct-91,3.52,42%,3.24,57%,1.16,37%,62%,0.1,Record: 17-7-0 (1 NC)
914,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Women's Strawweight, Submission ,1,2:27,,3,W,Mackenzie Dern,Amanda Cooper,0,15 of 32,6 of 25,46%,24%,16 of 33,6 of 25,Osiris Maia,"5' 4""",115 lbs.,"63""",Orthodox,24-Mar-93,3.64,38%,3.57,61%,0.51,10%,0%,2.3,Record: 11-1-0,,Mackenzie Dern,57:28.3,"5' 3""",115 lbs.,"64""",Switch,22-Oct-91,3.55,44%,3.2,51%,1.53,38%,28%,1.8,Record: 3-5-0
915,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Bantamweight, KO/TKO ,3,3:43,,4,W,John Lineker,Brian Kelleher,0,102 of 233,50 of 137,43%,36%,113 of 244,58 of 147,Leon Roberts,"5' 3""",135 lbs.,"67""",Orthodox,12-Jun-90,5.36,40%,4.27,56%,0.56,58%,67%,0.6,Record: 31-9-0,Hands of Stone,John Lineker,57:28.3,"5' 6""",145 lbs.,"66""",Switch,19-Aug-86,3.92,39%,5.47,53%,1,25%,59%,0.7,Record: 22-12-0
916,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight, KO/TKO ,2,1:00,perf,5,L,Vitor Belfort,Lyoto Machida,1,2 of 12,11 of 22,16%,50%,2 of 12,11 of 22,Marc Goddard,"6' 0""",185 lbs.,"74""",Southpaw,1-Apr-77,1.59,46%,2.83,50%,1.02,60%,53%,0.6,Record: 26-14-0 (1 NC),The Phenom,Vitor Belfort,57:28.3,"6' 1""",185 lbs.,"74""",Southpaw,30-May-78,2.59,53%,1.57,61%,1.21,65%,75%,0.4,Record: 24-8-0
917,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight, TKO - Doctor's Stoppage ,2,5:00,,10,W,Warlley Alves,Sultan Aliev,0,29 of 50,12 of 28,58%,42%,54 of 78,14 of 30,Osiris Maia,"5' 11""",170 lbs.,"72""",Orthodox,4-Jan-91,3.09,47%,3.62,50%,1.48,54%,75%,1,Record: 15-4-0,,Warlley Alves,57:28.3,"5' 11""",170 lbs.,"74""",Orthodox,17-Sep-84,1.41,45%,2.2,56%,1.76,38%,100%,0,Record: 15-3-0
918,26-Aug-06,"Las Vegas, Nevada, USA",Light Heavyweight, Submission ,1,2:32,,8,W,David Heath,Cory Walmsley,0,3 of 6,2 of 2,50%,100%,19 of 22,13 of 13,Mario Yamasaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Middleweight, KO/TKO ,3,2:10,,11,L,Thales Leites,Jack Hermansson,0,11 of 17,35 of 56,64%,62%,20 of 27,49 of 71,Marc Goddard,"6' 1""",185 lbs.,"78""",Orthodox,6-Sep-81,2.13,40%,2.99,52%,2.1,27%,30%,1.1,Record: 28-9-0,,Thales Leites,57:28.3,"6' 1""",185 lbs.,"77""",Orthodox,10-Jun-88,4.86,45%,3.36,54%,2.09,36%,75%,0.6,Record: 22-6-0
920,12-May-18,"Rio de Janeiro, Rio de Janeiro, Brazil",Welterweight, Decision - Unanimous ,3,5:00,,12,L,Alberto Mina,Ramazan Emeev,0,12 of 82,39 of 84,14%,46%,16 of 87,54 of 100,Eduardo Herdy,"6' 0""",170 lbs.,"77""",Orthodox,2-May-82,3.23,38%,3.7,47%,1.85,20%,50%,0,Record: 13-1-0,Soldier of God,Alberto Mina,57:28.3,"5' 10""",170 lbs.,"76""",Southpaw,23-May-87,2.5,45%,1.98,66%,2.33,29%,66%,0.5,Record: 20-4-0
